pref_code,prefecture_name,canonical_name,name,name_type
01,北海道,札幌市,札幌市,canonical
04,宮城県,仙台市,仙台市,canonical
11,埼玉県,さいたま市,さいたま市,canonical
12,千葉県,千葉市,千葉市,canonical
14,神奈川県,横浜市,横浜市,canonical
14,神奈川県,川崎市,川崎市,canonical
14,神奈川県,相模原市,相模原市,canonical
15,新潟県,新潟市,新潟市,canonical
22,静岡県,静岡市,静岡市,canonical
22,静岡県,浜松市,浜松市,canonical
23,愛知県,名古屋市,名古屋市,canonical
26,京都府,京都市,京都市,canonical
27,大阪府,大阪市,大阪市,canonical
27,大阪府,堺市,堺市,canonical
28,兵庫県,神戸市,神戸市,canonical
33,岡山県,岡山市,岡山市,canonical
34,広島県,広島市,広島市,canonical
40,福岡県,北九州市,北九州市,canonical
40,福岡県,福岡市,福岡市,canonical
43,熊本県,熊本市,熊本市,canonical
13,東京都,東京都,東京都会計管理者,alias
27,大阪府,大阪府,大阪府会計管理者,alias
25,滋賀県,滋賀県,滋賀県会計管理者,alias
35,山口県,山口県,山口県会計管理者,alias
05,秋田県,秋田県,秋田県会計管理者,alias
16,富山県,富山県,富山県会計管理者,alias
14,神奈川県,神奈川県,神奈川県会計管理者,alias
12,千葉県,柏市,柏市会計管理者,alias
11,埼玉県,新座市,新座市会計管理者,alias
12,千葉県,富里市,富里市会計管理者,alias
